Unit,word,length,complexity,audio_f,kan_translation,kan_transliteration,mal_translation,mal_transliteration,tel_translation,tel_transliteration,hin_translation,hin_transliteration,tam_translation,tam_transliteration
unit_1_1,house,5,2,house.mp3,ಮನೆ,ಹೌಸ್,വീട്,ഹൗസ്,ఇల్లు,హౌస్,मकान,हाउस,வீடு,ஹவுஸ்
unit_1_1,red,3,1,red.mp3,ಕೆಂಪು,ರೆಡ್,ചുവപ്പ്,റെഡ്,ఎరుపు,రెడ్,लाल,रेड,சிவப்பு,ரெட்
unit_1_1,little,6,2,little.mp3,ಸ್ವಲ್ಪ,ಲಿಟಲ್,അല്പം,ലിറ്റിൽ,కొద్దిగా,లిటిల్,थोड़ा,लिटिल,கொஞ்சம்,லிட்டில்
unit_1_1,happy,5,2,happy.mp3,ಸಂತೋಷ,ಹ್ಯಾಪಿ,സന്തോഷം,ഹാപ്പി,సంతోషంగా,హ్యాపీ,खुश,हैप्पी,சந்தோஷமாக,ஹாப்பி
unit_1_1,child,5,2,child.mp3,ಮಗು,ಚೈಲ್ಡ್,കുട്ടി,ചൈൽഡ്,పిల్లవాడు,చైల్డ్,बच्चा,चाइल्ड,குழந்தை,சைல்ட்
unit_1_1,laugh,5,2,laugh.mp3,ನಗು,ಲಾಫ್,ചിരിക്കുക,ലാഫ്,నవ్వు,లాఫ్,हसना,लाफ,சிரிக்கவும்,லாப்
unit_1_1,play,4,1,play.mp3,ಆಟವಾಡಿ,ಪ್ಲೇ,കളിക്കുക,പ്ലേയ്,ఆడండి,ప్లే,खेल,प्ले,விளையாடு,ப்லே
unit_1_1,day,3,1,day.mp3,ದಿನ,ಡೇ,ദിവസം,ഡേ,రోజు,డే,दिन,डे,நாள்,டே
unit_1_1,long,4,1,long.mp3,ಉದ್ದವಾಗಿದೆ,ಲಾಂಗ್,നീളമുള്ള,ലോങ്ങ്,పొడవు,లాంగ్,लंबा,लॉन्ग,நீண்டது,லோங்
unit_1_1,hard,4,1,hard.mp3,ಕಠಿಣ,ಹಾರ್ಡ್,കഠിനം,ഹാർഡ്,హార్డ్,హార్డ్,मुश्किल,हार्ड,கடினமானது,ஹார்ட்
